ts_code,name,ret_pct,mv_yi,industry,is_st
603256.SH,宏和科技,580,2332,玻璃,False
603629.SH,利通电子,539,463,元器件,False
603618.SH,杭电股份,521,358,电气设备,False
003036.SZ,泰坦股份,517,214,纺织机械,False
002636.SZ,金安国纪,515,760,元器件,False
002980.SZ,华盛昌,508,249,电器仪表,False
603115.SH,海星股份,482,277,铝,False
600396.SH,华电辽能,467,241,火力发电,False
002491.SZ,通鼎互联,425,388,通信设备,False
603773.SH,沃格光电,380,370,元器件,False
603186.SH,华正新材,367,373,元器件,False
600487.SH,亨通光电,348,2738,通信设备,False
000636.SZ,风华高科,341,863,元器件,False
603045.SH,福达合金,330,116,小金属,False
002552.SZ,宝鼎科技,327,281,元器件,False
601869.SH,长飞光纤,309,3904,通信设备,False
600869.SH,远东股份,300,729,电气设备,False
003018.SZ,金富科技,285,171,塑料,False
001896.SZ,豫能控股,278,303,火力发电,False
002281.SZ,光迅科技,276,2203,通信设备,False
603738.SH,泰晶科技,271,228,元器件,False
002484.SZ,江海股份,266,919,元器件,False
605376.SH,博迁新材,250,605,小金属,False
000657.SZ,中钨高新,246,2244,小金属,False
002859.SZ,洁美科技,242,430,元器件,False
002842.SZ,翔鹭钨业,235,156,小金属,False
002655.SZ,共达电声,230,155,元器件,False
603061.SH,金海通,230,305,半导体,False
600726.SH,华电能源,230,623,火力发电,False
002428.SZ,云南锗业,225,656,小金属,False
600367.SH,红星发展,224,193,化工原料,False
002384.SZ,东山精密,222,5000,元器件,False
605006.SH,山东玻纤,219,147,玻璃,False
600683.SH,京投发展,219,101,区域地产,False
002008.SZ,大族激光,216,1389,专用机械,False
603002.SH,宏昌电子,212,267,化工原料,False
600522.SH,中天科技,209,1930,通信设备,False
600176.SH,中国巨石,207,2142,玻璃,False
603823.SH,百合花,204,194,染料涂料,False
