company,ts_code,milestone,valuation_date,pe_ttm,pe_static,pe_ex_post_ntm
宁德时代,300750.SZ,2019起点,2019-01-02,42.77,47.74,35.45
宁德时代,300750.SZ,旧周期股价峰值,2021-12-02,160.72,287.22,62.22
宁德时代,300750.SZ,已观察TTM利润峰值披露日,2026-04-16,26.24,28.7,
宁德时代,300750.SZ,最新,2026-07-17,21.09,23.07,
隆基绿能,601012.SH,2019起点,2019-01-02,16.08,18.95,9.18
隆基绿能,601012.SH,旧周期股价峰值,2021-11-01,55.62,63.42,43.37
隆基绿能,601012.SH,已观察TTM利润峰值披露日,2023-08-31,11.5,13.59,-55.03
隆基绿能,601012.SH,最新,2026-07-17,-12.89,-13.87,
阳光电源,300274.SZ,2019起点,2019-01-02,14.31,15.56,14.12
阳光电源,300274.SZ,旧周期股价峰值,2021-10-27,113.13,131.13,119.83
阳光电源,300274.SZ,已观察TTM利润峰值披露日,2025-10-29,25.92,35.97,
阳光电源,300274.SZ,最新,2026-07-17,17.66,15.65,
亿纬锂能,300014.SZ,2019起点,2019-01-02,29.65,23.85,8.94
亿纬锂能,300014.SZ,旧周期股价峰值,2021-11-26,96.65,170.92,84.15
亿纬锂能,300014.SZ,已观察TTM利润峰值披露日,2026-04-24,38.27,38.27,
亿纬锂能,300014.SZ,最新,2026-07-17,25.07,27.16,
恩捷股份,002812.SZ,2019起点,2019-01-02,123.46,43.95,26.81
恩捷股份,002812.SZ,旧周期股价峰值,2021-09-14,150.03,248.04,75.05
恩捷股份,002812.SZ,已观察TTM利润峰值披露日,2022-10-25,33.95,52.33,48.57
恩捷股份,002812.SZ,最新,2026-07-17,130.72,345.59,
通威股份,600438.SH,2019起点,2019-01-02,15.0,15.92,12.2
通威股份,600438.SH,旧周期股价峰值,2022-07-05,24.29,37.16,11.39
通威股份,600438.SH,已观察TTM利润峰值披露日,2023-04-25,5.86,6.64,40.82
通威股份,600438.SH,最新,2026-07-17,-5.02,-4.94,
天齐锂业,002466.SZ,2019起点,2019-01-02,14.31,15.06,-5.54
天齐锂业,002466.SZ,旧周期股价峰值,2022-07-08,38.66,105.16,10.8
天齐锂业,002466.SZ,已观察TTM利润峰值披露日,2023-04-28,4.85,4.85,-79.31
天齐锂业,002466.SZ,最新,2026-07-17,36.03,174.02,
锦浪科技,300763.SZ,2019起点,2019-03-19,25.99,25.99,24.24
锦浪科技,300763.SZ,旧周期股价峰值,2022-08-23,198.7,223.15,82.05
锦浪科技,300763.SZ,已观察TTM利润峰值披露日,2023-08-30,23.87,29.03,61.0
锦浪科技,300763.SZ,最新,2026-07-17,37.74,30.96,
